n, m, tiempoTotal
764, 0, 153082986
765, 0, 152769486
766, 0, 153621377
767, 0, 154133021
768, 0, 153892108
769, 0, 153577894
770, 0, 154909416
771, 0, 157154635
772, 0, 155944802
773, 0, 157022114
774, 0, 156930202
775, 0, 156045682
776, 0, 157243223
777, 0, 157603621
778, 0, 157024683
779, 0, 158595311
780, 0, 158211110
781, 0, 158531368
782, 0, 159225358
783, 0, 179451407
784, 0, 160402843
785, 0, 161621992
786, 0, 161027046
787, 0, 161693756
788, 0, 164025538
789, 0, 162763538
790, 0, 174108711
791, 0, 167760593
792, 0, 165918478
793, 0, 164740998
794, 0, 165532682
795, 0, 176317214
796, 0, 166316163
797, 0, 166669644
798, 0, 164628285
799, 0, 165531249
800, 0, 166487824
801, 0, 167369019
802, 0, 167199575
803, 0, 166034262
804, 0, 173302908
805, 0, 174340161
806, 0, 180116848
807, 0, 171933227
808, 0, 172323269
809, 0, 173490491
810, 0, 178518922
811, 0, 176711500
812, 0, 178604613
813, 0, 178644378
814, 0, 178351968
815, 0, 176625044
816, 0, 175400846
817, 0, 178161744
818, 0, 176923276
819, 0, 185690243
820, 0, 192887458
821, 0, 178489508
822, 0, 188813503
823, 0, 179319548
824, 0, 174046465
825, 0, 175446319
826, 0, 181484870
827, 0, 183139981
828, 0, 180778426
829, 0, 178410183
830, 0, 179526300
831, 0, 181817768
832, 0, 182714889
833, 0, 181911378
834, 0, 181005359
835, 0, 183470565
836, 0, 184711503
837, 0, 187115570
838, 0, 185021364
839, 0, 184731713
840, 0, 185903685
841, 0, 185360923
842, 0, 215096474
843, 0, 192820481
844, 0, 190153847
845, 0, 198726856
846, 0, 183189697
847, 0, 183214896
848, 0, 183977597
849, 0, 200738429
850, 0, 202954769
851, 0, 224379526
852, 0, 199485369
853, 0, 213284527
854, 0, 240195361
855, 0, 193649111
856, 0, 193303347
857, 0, 190463265
858, 0, 191752695
859, 0, 198260866
860, 0, 197014162
861, 0, 196679099
862, 0, 200728686
863, 0, 202299810
864, 0, 197107561
865, 0, 196915250
866, 0, 197687732
867, 0, 201035949
868, 0, 210165971
869, 0, 207395097
870, 0, 263665056
871, 0, 200803975
872, 0, 207859969
873, 0, 205528271
874, 0, 214988949
875, 0, 208522350
876, 0, 203837709
877, 0, 204790727
878, 0, 204617391
879, 0, 205940951
880, 0, 206532507
881, 0, 206615814
882, 0, 206979272
883, 0, 221699196
884, 0, 211030592
885, 0, 213940458
886, 0, 217078826
887, 0, 203376488
888, 0, 205537809
889, 0, 204318655
890, 0, 211247447
891, 0, 231716104
892, 0, 237869748
893, 0, 214540159
894, 0, 212721277
895, 0, 211947773
896, 0, 206692112
897, 0, 206604334
898, 0, 206874253
899, 0, 213027735
900, 0, 214367438
901, 0, 215399919
902, 0, 211385742
903, 0, 210959811
904, 0, 218374862
905, 0, 220660151
906, 0, 217939451
907, 0, 216506872
908, 0, 225717973
909, 0, 222665646
910, 0, 221032452
911, 0, 220834919
912, 0, 232927710
913, 0, 220118256
914, 0, 221369202
915, 0, 222072668
916, 0, 219236864
917, 0, 221543892
918, 0, 222597119
919, 0, 223960969
920, 0, 225852583
921, 0, 223827080
922, 0, 224179401
923, 0, 225300612
924, 0, 239492779
925, 0, 222784306
926, 0, 226235454
927, 0, 227011555
928, 0, 226126061
929, 0, 224917116
930, 0, 233322892
931, 0, 232525046
932, 0, 230603552
933, 0, 231289269
934, 0, 230740795
935, 0, 233747193
936, 0, 233529371
937, 0, 232472295
938, 0, 237191318
939, 0, 229940126
940, 0, 229794786
941, 0, 228793125
942, 0, 235663366
943, 0, 232074694
944, 0, 236409407
945, 0, 234056159
