n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoExacto, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
25, 94, 32, 30, 31, 32, 2337513, 21705, 2843, 1440484
25, 95, 28, 23, 26, 28, 2185791, 20164, 3733, 1400582
25, 96, 27, 23, 25, 27, 1996186, 17545, 3083, 1245450
25, 97, 30, 25, 26, 30, 1387874, 12932, 2472, 916043
25, 98, 29, 25, 27, 29, 1366258, 14918, 2673, 990565
25, 99, 29, 27, 27, 29, 1667002, 13359, 2003, 950780
25, 100, 34, 29, 33, 34, 1576701, 17851, 2622, 1029280
25, 101, 29, 26, 29, 29, 1638815, 16289, 2648, 1045866
25, 102, 32, 26, 29, 32, 1562612, 15450, 2856, 1032185
25, 103, 35, 33, 34, 35, 1895748, 15175, 2406, 974778
25, 104, 31, 27, 29, 31, 2777011, 25861, 4087, 1555292
25, 105, 33, 31, 32, 33, 2715042, 26106, 8886, 1595444
25, 106, 31, 26, 30, 31, 2449479, 24218, 4139, 1575205
25, 107, 32, 27, 29, 32, 2720729, 23780, 3423, 1529104
25, 108, 34, 27, 34, 34, 3038875, 24367, 4498, 1583180
25, 109, 36, 35, 36, 36, 3115161, 24834, 3055, 1576754
25, 110, 35, 32, 32, 35, 2623020, 22558, 2836, 1590403
25, 111, 33, 28, 29, 33, 2921440, 32256, 5022, 1735847
25, 112, 35, 30, 34, 35, 3400635, 35938, 3705, 1571189
25, 113, 35, 33, 35, 35, 3011757, 31093, 3337, 1583687
25, 114, 39, 29, 37, 39, 3247783, 23756, 3058, 1347476
25, 115, 37, 33, 37, 37, 2222758, 15893, 3064, 1091668
25, 116, 35, 29, 33, 35, 2515107, 20688, 3823, 1223764
25, 117, 38, 37, 38, 38, 2268569, 15532, 2858, 1151377
25, 118, 40, 34, 38, 40, 2382314, 16286, 2849, 1113171
25, 119, 40, 32, 37, 40, 2411605, 19098, 3477, 1307116
25, 120, 39, 35, 38, 39, 3899075, 30485, 4740, 1773454
25, 121, 39, 30, 36, 39, 3423852, 24881, 4333, 1617353
25, 122, 42, 33, 41, 42, 2740197, 22490, 4166, 1437721
25, 123, 41, 34, 36, 41, 3274608, 20595, 3380, 1250067
25, 124, 44, 42, 42, 44, 3547581, 24716, 3507, 1464822
25, 125, 44, 37, 43, 44, 4771224, 30582, 5515, 1720786
25, 126, 40, 32, 35, 40, 4211856, 38458, 3557, 1846188
25, 127, 42, 36, 41, 41, 4842876, 33014, 4354, 1801370
25, 128, 44, 32, 37, 43, 2874278, 16289, 3946, 1194999
25, 129, 43, 35, 38, 43, 2959261, 16487, 3193, 1182939
