n, m, tiempoTotal
755, 0, 151388087
756, 0, 152193951
757, 0, 152487114
758, 0, 150493975
759, 0, 149359280
760, 0, 149720830
761, 0, 149779119
762, 0, 150501287
763, 0, 150774888
764, 0, 151713007
765, 0, 151688619
766, 0, 151618739
767, 0, 152245991
768, 0, 153226384
769, 0, 153315921
770, 0, 154763303
771, 0, 153587638
772, 0, 154034862
773, 0, 154873743
774, 0, 154859619
775, 0, 155677688
776, 0, 155520481
777, 0, 156245446
778, 0, 156277894
779, 0, 157576306
780, 0, 157303609
781, 0, 158427648
782, 0, 159950433
783, 0, 158611675
784, 0, 159401911
785, 0, 159595722
786, 0, 160389858
787, 0, 160541093
788, 0, 161435161
789, 0, 161015886
790, 0, 161561901
791, 0, 161706814
792, 0, 162758434
793, 0, 163828971
794, 0, 162966914
795, 0, 163603379
796, 0, 164018057
797, 0, 165746430
798, 0, 164199011
799, 0, 165085363
800, 0, 165823539
801, 0, 165718430
802, 0, 166732561
803, 0, 166397118
804, 0, 168892737
805, 0, 167916584
806, 0, 168509601
807, 0, 168591849
808, 0, 168347183
809, 0, 169614535
810, 0, 169050560
811, 0, 169866485
812, 0, 170508656
813, 0, 172751337
814, 0, 172057657
815, 0, 171631444
816, 0, 173202405
817, 0, 172797279
818, 0, 174991231
819, 0, 175501481
820, 0, 174555831
821, 0, 175822981
822, 0, 175270775
823, 0, 175767414
824, 0, 176094291
825, 0, 176190443
826, 0, 177209484
827, 0, 177196380
828, 0, 179902553
829, 0, 180960776
830, 0, 179737954
831, 0, 180846827
832, 0, 181706684
833, 0, 195719588
834, 0, 181540542
835, 0, 181439239
836, 0, 182241874
837, 0, 182983331
838, 0, 181764499
839, 0, 182448595
840, 0, 183521019
841, 0, 184842294
842, 0, 184585355
843, 0, 184490818
844, 0, 192818107
845, 0, 187918845
846, 0, 185372469
847, 0, 186184548
848, 0, 186562459
849, 0, 187058041
850, 0, 187148892
851, 0, 188980828
852, 0, 187650939
853, 0, 188519118
854, 0, 188893524
855, 0, 188818871
856, 0, 190770207
857, 0, 190394070
858, 0, 190908723
859, 0, 191850288
860, 0, 194948973
861, 0, 191689225
862, 0, 192532818
863, 0, 192376498
864, 0, 193883363
865, 0, 194070423
866, 0, 196711393
867, 0, 199280283
