n, m, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
200, 3181, 117, 136, 173, 243185, 18407, 25211316
200, 3201, 106, 124, 164, 248256, 22108, 28004012
200, 3221, 119, 150, 180, 640464, 22015, 28412554
200, 3241, 130, 141, 178, 691860, 20564, 34828371
200, 3261, 122, 141, 173, 451861, 28102, 30581855
200, 3281, 127, 127, 173, 475706, 16253, 24987852
200, 3301, 122, 139, 179, 272347, 20898, 26899972
200, 3321, 120, 151, 188, 387814, 26942, 25341506
200, 3341, 119, 140, 173, 268406, 22213, 26829613
200, 3361, 121, 151, 176, 255010, 29461, 27159486
200, 3381, 134, 134, 185, 351126, 18213, 32680194
200, 3401, 125, 165, 180, 439528, 26291, 33845898
200, 3421, 136, 160, 187, 443262, 26270, 37172948
200, 3441, 131, 172, 190, 265603, 28275, 29695195
200, 3461, 133, 163, 193, 261291, 23016, 28073590
200, 3481, 130, 174, 201, 386397, 31029, 26910345
200, 3501, 130, 173, 202, 268354, 25164, 26089239
200, 3521, 131, 174, 189, 254189, 31595, 28189100
200, 3541, 133, 152, 190, 576609, 31840, 40649262
200, 3561, 136, 158, 200, 391973, 25103, 32649558
200, 3581, 117, 132, 192, 267145, 20213, 27688553
200, 3601, 134, 178, 190, 294525, 25443, 27670296
200, 3621, 149, 171, 191, 269341, 18716, 30549235
200, 3641, 134, 190, 206, 657765, 37690, 39866484
200, 3661, 138, 189, 209, 444740, 26341, 35134224
200, 3681, 159, 169, 207, 283549, 19569, 29791374
200, 3701, 138, 176, 210, 336136, 21542, 34476110
200, 3721, 151, 171, 207, 404968, 22940, 40096053
200, 3741, 139, 148, 221, 523098, 23635, 37846391
200, 3761, 130, 176, 202, 272932, 25009, 28383761
200, 3781, 157, 192, 214, 396520, 28056, 32072090
200, 3801, 152, 205, 231, 335685, 29699, 29168727
200, 3821, 137, 177, 213, 284345, 20178, 28332541
200, 3841, 156, 176, 207, 323655, 21088, 29604097
200, 3861, 155, 177, 210, 288355, 24306, 28897317
200, 3881, 142, 186, 201, 287523, 24079, 29234406
200, 3901, 145, 192, 213, 453521, 28050, 37743663
200, 3921, 159, 205, 235, 510858, 23414, 39156445
200, 3941, 134, 183, 219, 445261, 25792, 42994555
200, 3961, 146, 181, 226, 318426, 21798, 29622602
200, 3981, 145, 170, 217, 297616, 19562, 29747982
200, 4001, 163, 187, 209, 312147, 20921, 29491923
200, 4021, 148, 197, 225, 287994, 19705, 29314511
200, 4041, 151, 211, 232, 329003, 24525, 30951547
200, 4061, 154, 203, 239, 287080, 27553, 30260233
200, 4081, 147, 183, 239, 305711, 22008, 31796886
200, 4101, 160, 172, 241, 535493, 25180, 42175519
200, 4121, 144, 204, 245, 485046, 31895, 39822904
200, 4141, 165, 204, 231, 318860, 23176, 33241754
200, 4161, 148, 191, 230, 308946, 26873, 30717040
200, 4181, 146, 208, 235, 330291, 28856, 33480627
200, 4201, 160, 208, 244, 329480, 22482, 31983407
200, 4221, 151, 198, 241, 312410, 28346, 31996567
200, 4241, 152, 212, 238, 314402, 23453, 31919098
200, 4261, 152, 216, 248, 330476, 30058, 35952208
200, 4281, 161, 205, 245, 424951, 28760, 43950931
200, 4301, 155, 199, 248, 372991, 26666, 44256848
200, 4321, 155, 236, 264, 378517, 35852, 33330750
200, 4341, 161, 184, 246, 324279, 18902, 31983814
200, 4361, 169, 227, 254, 327118, 29968, 31686931
200, 4381, 155, 204, 264, 333080, 23505, 34084651
200, 4401, 157, 221, 247, 331806, 29085, 32367674
200, 4421, 158, 204, 256, 317881, 24626, 33479416
200, 4441, 158, 215, 249, 460118, 26913, 32747253
200, 4461, 212, 236, 289, 337801, 22250, 34246286
200, 4481, 177, 229, 249, 355863, 26570, 33649975
200, 4501, 165, 191, 268, 344264, 21257, 46161912
200, 4521, 183, 247, 279, 772497, 34828, 46115103
200, 4541, 179, 217, 270, 480514, 36152, 42711656
200, 4561, 180, 236, 266, 336930, 24811, 35597556
200, 4581, 163, 229, 261, 350678, 27892, 33792423
200, 4601, 163, 207, 265, 335993, 22058, 34679055
200, 4621, 171, 211, 296, 437034, 26623, 35408779
200, 4641, 168, 245, 275, 341333, 29954, 34416852
200, 4661, 175, 229, 285, 376547, 22946, 35670260
200, 4681, 181, 227, 290, 530096, 24127, 45157816
200, 4701, 188, 231, 272, 721424, 31089, 53518021
200, 4721, 195, 245, 273, 753674, 33339, 46502904
200, 4741, 198, 255, 283, 448166, 29564, 45226053
200, 4761, 181, 219, 289, 667203, 28250, 48237616
200, 4781, 176, 234, 285, 461882, 25896, 40362460
200, 4801, 174, 261, 293, 416654, 36398, 47387371
200, 4821, 181, 255, 289, 606955, 46595, 50877414
200, 4841, 172, 260, 280, 548513, 34334, 44012697
200, 4861, 181, 256, 305, 351690, 34011, 38427182
200, 4881, 201, 275, 300, 465017, 35675, 44478138
