n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
923, 425503, 212982, 212982, 212982, 212982, 110076695, 65601, 3930405886
928, 430128, 215296, 215296, 215296, 215296, 106035798, 51060, 4504088289
933, 434778, 217622, 217622, 217622, 217622, 103905625, 53801, 3918038980
938, 439453, 219961, 219961, 219961, 219961, 100191341, 51363, 3817204588
943, 444153, 222312, 222312, 222312, 222312, 101503344, 55026, 3887122703
948, 448878, 224676, 224676, 224676, 224676, 109728695, 50316, 3913126502
953, 453628, 227052, 227052, 227052, 227052, 103090129, 50890, 3937128910
958, 458403, 229441, 229441, 229441, 229441, 103716201, 50659, 4014374048
963, 463203, 231842, 231842, 231842, 231842, 106881734, 53395, 4040812376
968, 468028, 234256, 234256, 234256, 234256, 110085440, 53252, 4089631051
973, 472878, 236682, 236682, 236682, 236682, 109840984, 52477, 4119470344
978, 477753, 239121, 239121, 239121, 239121, 111941819, 53182, 4181605680
983, 482653, 241572, 241572, 241572, 241572, 111807654, 68114, 4223455425
988, 487578, 244036, 244036, 244036, 244036, 112026961, 53992, 4254746638
993, 492528, 246512, 246512, 246512, 246512, 115013712, 54742, 4327819920
998, 497503, 249001, 249001, 249001, 249001, 113016055, 54678, 4404795722
